id;lecture_url;tasks_url;tests
1;meh;upliftingly tabletop seal;../fake-data/blob/hipster.txt
2;decide bowed psst;how oddball;../fake-data/blob/hipster.txt
3;phooey after satirise;react bah;../fake-data/blob/hipster.txt
4;shoddy opposite nor;furthermore permafrost tangible;../fake-data/blob/hipster.txt
5;so;yuck rapid idolized;../fake-data/blob/hipster.txt
6;switch bookcase however;viability before card;../fake-data/blob/hipster.txt
7;bah diligently like;fluff gosh fooey;../fake-data/blob/hipster.txt
8;beneath;perfectly minus frightfully;../fake-data/blob/hipster.txt
9;steel;unto;../fake-data/blob/hipster.txt
10;doing;out limply psst;../fake-data/blob/hipster.txt
